species;body_size;synonym;class;corrected_status;corrected_code;corrected_agreg_ts
Corvus corone;570.00;NA;Aves;Least Concern;LC;not_threatened
Corvus frugilegus;452.10;NA;Aves;Least Concern;LC;not_threatened
Coturnix coturnix;96.28;NA;Aves;Least Concern;LC;not_threatened
Crex crex;154.91;NA;Aves;Least Concern;LC;not_threatened
Cuculus canorus;111.36;NA;Aves;Least Concern;LC;not_threatened
Cuculus saturatus;87.00;NA;Aves;Least Concern;LC;not_threatened
Cyanopica cyanus;95.91;NA;Aves;Least Concern;LC;not_threatened
Cygnus columbianus;6377.96;NA;Aves;Least Concern;LC;not_threatened
Cygnus cygnus;9349.99;NA;Aves;Least Concern;LC;not_threatened
Cygnus olor;10682.04;NA;Aves;Least Concern;LC;not_threatened
Delichon urbicum;14.50;NA;Aves;Least Concern;LC;not_threatened
Dendrocopos leucotos;116.80;NA;Aves;Least Concern;LC;not_threatened
Dendrocopos major;74.94;NA;Aves;Least Concern;LC;not_threatened
Dendrocopos syriacus;76.70;NA;Aves;Least Concern;LC;not_threatened
Dryocopus martius;321.00;NA;Aves;Least Concern;LC;not_threatened
Egretta garzetta;312.00;NA;Aves;Least Concern;LC;not_threatened
Elanus caeruleus;259.76;NA;Aves;Least Concern;LC;not_threatened
Emberiza bruniceps;24.80;NA;Aves;Least Concern;LC;not_threatened
Emberiza buchanani;21.20;NA;Aves;Least Concern;LC;not_threatened
Emberiza caesia;19.90;NA;Aves;Least Concern;LC;not_threatened
Emberiza cia;23.43;NA;Aves;Least Concern;LC;not_threatened
Emberiza cirlus;25.60;NA;Aves;Least Concern;LC;not_threatened
Emberiza citrinella;29.70;NA;Aves;Least Concern;LC;not_threatened
Emberiza hortulana;19.90;NA;Aves;Least Concern;LC;not_threatened
Emberiza leucocephalos;28.50;NA;Aves;Least Concern;LC;not_threatened
Emberiza melanocephala;28.31;NA;Aves;Least Concern;LC;not_threatened
Emberiza pallasi;13.96;NA;Aves;Least Concern;LC;not_threatened
Emberiza pusilla;14.57;NA;Aves;Least Concern;LC;not_threatened
Emberiza schoeniclus;18.40;NA;Aves;Least Concern;LC;not_threatened
Eremophila alpestris;33.33;NA;Aves;Least Concern;LC;not_threatened
Erithacus rubecula;17.70;NA;Aves;Least Concern;LC;not_threatened
Falco biarmicus;606.09;NA;Aves;Least Concern;LC;not_threatened
Falco columbarius;188.50;NA;Aves;Least Concern;LC;not_threatened
Falco eleonorae;390.00;NA;Aves;Least Concern;LC;not_threatened
Falco naumanni;152.06;NA;Aves;Least Concern;LC;not_threatened
Falco peregrinus;759.95;NA;Aves;Least Concern;LC;not_threatened
Falco rusticolus;1431.72;NA;Aves;Least Concern;LC;not_threatened
Falco subbuteo;208.17;NA;Aves;Least Concern;LC;not_threatened
Falco tinnunculus;183.21;NA;Aves;Least Concern;LC;not_threatened
Ficedula albicollis;12.69;NA;Aves;Least Concern;LC;not_threatened
Ficedula hypoleuca;13.79;NA;Aves;Least Concern;LC;not_threatened
Ficedula parva;10.80;NA;Aves;Least Concern;LC;not_threatened
Ficedula semitorquata;14.40;NA;Aves;Least Concern;LC;not_threatened
Francolinus francolinus;452.07;NA;Aves;Least Concern;LC;not_threatened
Fringilla coelebs;23.81;NA;Aves;Least Concern;LC;not_threatened
Fringilla montifringilla;23.19;NA;Aves;Least Concern;LC;not_threatened
Fulica atra;717.12;NA;Aves;Least Concern;LC;not_threatened
Fulica cristata;826.00;NA;Aves;Least Concern;LC;not_threatened
Fulmarus glacialis;611.94;NA;Aves;Least Concern;LC;not_threatened
Galerida cristata;42.68;NA;Aves;Least Concern;LC;not_threatened
Galerida theklae;38.17;NA;Aves;Least Concern;LC;not_threatened
Gallinago gallinago;112.94;NA;Aves;Least Concern;LC;not_threatened
Gallinago stenura;113.00;NA;Aves;Least Concern;LC;not_threatened
Gallinula chloropus;339.63;NA;Aves;Least Concern;LC;not_threatened
Garrulus glandarius;159.46;NA;Aves;Least Concern;LC;not_threatened
Gavia arctica;2251.10;NA;Aves;Least Concern;LC;not_threatened
Gavia immer;4956.81;NA;Aves;Least Concern;LC;not_threatened
Gavia stellata;1486.00;NA;Aves;Least Concern;LC;not_threatened
Gelochelidon nilotica;220.50;NA;Aves;Least Concern;LC;not_threatened
Glareola pratincola;84.90;NA;Aves;Least Concern;LC;not_threatened
Glaucidium passerinum;57.87;NA;Aves;Least Concern;LC;not_threatened
Grus grus;5499.99;NA;Aves;Least Concern;LC;not_threatened
Gymnoris xanthocollis;18.10;NA;Aves;Least Concern;LC;not_threatened
Gyps fulvus;7435.99;NA;Aves;Least Concern;LC;not_threatened
Halcyon smyrnensis;91.40;NA;Aves;Least Concern;LC;not_threatened
Haliaeetus albicilla;4729.27;NA;Aves;Least Concern;LC;not_threatened
Hieraaetus pennatus;823.75;NA;Aves;Least Concern;LC;not_threatened
Himantopus himantopus;176.82;NA;Aves;Least Concern;LC;not_threatened
Hippolais icterina;13.20;NA;Aves;Least Concern;LC;not_threatened
Hippolais languida;12.00;NA;Aves;Least Concern;LC;not_threatened
Hippolais olivetorum;17.50;NA;Aves;Least Concern;LC;not_threatened
Hippolais polyglotta;11.00;NA;Aves;Least Concern;LC;not_threatened
Hirundo rustica;17.91;NA;Aves;Least Concern;LC;not_threatened
Histrionicus histrionicus;561.57;NA;Aves;Least Concern;LC;not_threatened
Hydrobates pelagicus;25.20;NA;Aves;Least Concern;LC;not_threatened
